Destination.City,Orgin.City,Satisfaction,Airline.Status,Age,Gender,Price.Sensitivity,Year.of.First.Flight,No.of.Flights.p.a.,X..of.Flight.with.other.Airlines,Type.of.Travel,No..of.other.Loyalty.Cards,Shopping.Amount.at.Airport,Eating.and.Drinking.at.Airport,Class,Day.of.Month,Flight.date,Airline.Code,Airline.Name,Origin.State,Destination.State,Scheduled.Departure.Hour,Departure.Delay.in.Minutes,Arrival.Delay.in.Minutes,Flight.cancelled,Flight.time.in.minutes,Flight.Distance,Arrival.Delay.greater.5.Mins,olong,olat,dlong,dlat
"Charlotte, NC","Chicago, IL",3,Blue,22,Male,1,2004,12,6,Business travel,0,15,120,Eco,16,2/16/14,MQ,EnjoyFlying Air Services,Illinois,North Carolina,21,25,14,No,78,599,yes,-87.895427,41.827126,-80.815826,35.249654
"Las Vegas, NV","Sacramento, CA",4,Silver,34,Male,2,2004,14,6,Business travel,1,0,60,Eco,17,1/17/14,WN,Cheapseats Airlines Inc.,California,Nevada,12,0,0,No,61,397,no,-121.324669,38.638578,-115.167218,36.134893
"Houston, TX","New Orleans, LA",2,Blue,17,Male,1,2006,16,1,Personal Travel,3,0,10,Eco,24,1/24/14,OU,Oursin Airlines Inc.,Louisiana,Texas,19,30,48,No,67,305,yes,-90.143683,29.954653,-95.393531,29.784308
"Houston, TX","El Paso, TX",3,Blue,70,Female,1,2003,41,8,Personal Travel,0,0,110,Eco,7,1/7/14,OO,Northwest Business Airlines Inc.,Texas,Texas,17,0,0,No,86,667,no,-106.389031,31.780239,-95.393531,29.784308
"Phoenix, AZ","Los Angeles, CA",2,Platinum,65,Male,1,2011,20,5,Personal Travel,0,45,121,Eco,7,3/7/14,OO,Northwest Business Airlines Inc.,California,Arizona,14,0,0,No,57,370,no,-118.104332,33.982668,-111.970041,33.494067
"Las Vegas, NV","Los Angeles, CA",4,Blue,38,Male,2,2004,39,5,Business travel,2,60,60,Eco,6,3/6/14,AA,Paul Smith Airlines Inc.,California,Nevada,16,0,0,No,46,236,no,-118.104332,33.982668,-115.167218,36.134893
"Las Vegas, NV","San Diego, CA",4,Gold,41,Female,1,2006,0,6,Business travel,0,0,30,Eco,17,1/17/14,WN,Cheapseats Airlines Inc.,California,Nevada,7,0,0,No,55,258,no,-117.128799,32.928728,-115.167218,36.134893
"New York, NY","Eagle, CO",3,Blue,63,Female,1,2003,35,3,Personal Travel,0,0,70,Eco,6,3/6/14,AA,Paul Smith Airlines Inc.,Colorado,New York,9,0,3,No,222,1746,no,-106.826253,39.644579,-73.970221,40.718357
"San Diego, CA","Sacramento, CA",4,Silver,31,Male,1,2004,16,1,Business travel,0,6,35,Eco,23,3/23/14,WN,Cheapseats Airlines Inc.,California,California,21,1,0,No,70,480,no,-121.324669,38.638578,-117.128799,32.928728
"Atlanta, GA","Washington, DC",2,Gold,41,Female,1,2003,33,6,Business travel,0,150,40,Eco Plus,23,3/23/14,DL,Sigma Airlines Inc.,Virginia,Georgia,12,0,0,No,89,547,no,-77.18974,38.897394,-84.331858,33.824102
"Baltimore, MD","Hartford, CT",2,Blue,17,Female,2,2012,9,11,Personal Travel,3,5,15,Eco Plus,3,2/3/14,WN,Cheapseats Airlines Inc.,Connecticut,Maryland,11,32,52,No,62,283,yes,-72.69883,41.740122,-76.64776,39.234099
"Tampa, FL","Chicago, IL",4,Blue,32,Female,2,2007,42,8,Business travel,0,0,30,Eco,19,2/19/14,AA,Paul Smith Airlines Inc.,Illinois,Florida,11,0,0,No,119,1012,no,-87.895427,41.827126,-82.513188,28.006247
"Tucson, AZ","Denver, CO",2,Blue,28,Male,1,2003,56,2,Personal Travel,0,0,30,Eco,5,1/5/14,EV,FlyFast Airways Inc.,Colorado,Arizona,8,8,36,No,97,639,yes,-104.955096,39.710774,-110.946141,32.254891
"Columbus, OH","New York, NY",3,Silver,76,Male,1,2012,26,7,Personal Travel,0,10,145,Eco,27,3/27/14,MQ,EnjoyFlying Air Services,New York,Ohio,11,2,0,No,82,479,no,-73.970221,40.718357,-82.968532,40.021161
"Philadelphia, PA","Boston, MA",2,Blue,33,Female,1,2005,4,9,Personal Travel,3,95,75,Eco,19,1/19/14,US,Southeast Airlines Co.,Massachusetts,Pennsylvania,15,0,0,No,72,280,no,-71.140708,42.373132,-75.298163,39.973331
"Alexandria, LA","Atlanta, GA",5,Blue,69,Male,1,2012,0,4,Business travel,0,0,105,Eco,7,3/7/14,EV,FlyFast Airways Inc.,Georgia,Louisiana,16,28,13,No,73,500,yes,-84.331858,33.824102,-92.539847,31.298299
"Baltimore, MD","Tampa, FL",4,Blue,35,Female,1,2007,0,13,Business travel,3,0,75,Eco Plus,12,2/12/14,WN,Cheapseats Airlines Inc.,Florida,Maryland,13,12,0,No,102,842,no,-82.513188,28.006247,-76.64776,39.234099
"New York, NY","Los Angeles, CA",3,Silver,79,Female,1,2012,38,5,Personal Travel,0,60,25,Eco Plus,5,3/5/14,AA,Paul Smith Airlines Inc.,California,New York,13,0,0,No,291,2475,no,-118.104332,33.982668,-73.970221,40.718357
"Washington, DC","St. Louis, MO",2,Blue,66,Female,2,2008,49,10,Personal Travel,0,0,15,Eco,11,3/11/14,WN,Cheapseats Airlines Inc.,Missouri,Virginia,8,2,0,No,90,719,no,-90.340926,38.630705,-77.18974,38.897394
"Syracuse, NY","Chicago, IL",3,Blue,23,Female,1,2003,39,5,Business travel,1,24,30,Eco,17,1/17/14,EV,FlyFast Airways Inc.,Illinois,New York,19,13,16,No,80,607,yes,-87.895427,41.827126,-76.164008,43.090425
"Indianapolis, IN","Atlanta, GA",4,Blue,57,Female,2,2010,25,10,Business travel,0,0,90,Eco,21,1/21/14,DL,Sigma Airlines Inc.,Georgia,Indiana,16,19,8,No,67,432,yes,-84.331858,33.824102,-86.145521,39.811262
"Orlando, FL","New York, NY",5,Silver,68,Male,2,2006,31,4,Business travel,0,10,60,Eco,17,1/17/14,B6,OnlyJets Airlines Inc.,New York,Florida,14,0,16,No,168,944,yes,-73.970221,40.718357,-81.411184,28.584434
"Charlotte, NC","New York, NY",3,Blue,70,Male,1,2010,64,3,Personal Travel,0,0,30,Eco,16,3/16/14,US,Southeast Airlines Co.,New York,North Carolina,14,0,0,No,90,544,no,-73.970221,40.718357,-80.815826,35.249654
"San Francisco, CA","Portland, OR",2,Blue,69,Male,1,2004,30,3,Personal Travel,0,10,51,Eco,16,3/16/14,AS,FlyToSun Airlines Inc.,Oregon,California,12,0,0,No,85,550,no,-122.651087,45.520404,-122.383287,37.754645
"Atlanta, GA","Omaha, NE",5,Blue,51,Male,1,2005,19,8,Business travel,0,10,160,Eco,12,3/12/14,DL,Sigma Airlines Inc.,Nebraska,Georgia,6,3,0,No,100,821,no,-96.034641,41.234859,-84.331858,33.824102
"Tampa, FL","New York, NY",4,Blue,26,Male,1,2004,0,2,Business travel,0,0,47,Eco,6,1/6/14,DL,Sigma Airlines Inc.,New York,Florida,17,126,143,No,185,1005,yes,-73.970221,40.718357,-82.513188,28.006247
"Houston, TX","Atlanta, GA",5,Blue,36,Male,1,2012,40,7,Business travel,1,15,68,Eco,17,1/17/14,WN,Cheapseats Airlines Inc.,Georgia,Texas,14,8,0,No,113,696,no,-84.331858,33.824102,-95.393531,29.784308
"Orlando, FL","New York, NY",4,Gold,25,Female,1,2005,10,9,Business travel,0,120,120,Eco,7,2/7/14,B6,OnlyJets Airlines Inc.,New York,Florida,14,0,0,No,149,944,no,-73.970221,40.718357,-81.411184,28.584434
"Washington, DC","Charlotte, NC",3,Blue,61,Female,2,2012,4,6,Business travel,2,0,0,Eco,17,3/17/14,US,Southeast Airlines Co.,North Carolina,Virginia,16,0,0,No,49,331,no,-80.815826,35.249654,-77.18974,38.897394
"Houston, TX","Charlotte, NC",2,Gold,85,Male,1,2006,31,9,Personal Travel,0,0,150,Eco,21,3/21/14,EV,FlyFast Airways Inc.,North Carolina,Texas,6,0,0,No,147,912,no,-80.815826,35.249654,-95.393531,29.784308
"Atlanta, GA","Gainesville, FL",4,Silver,49,Male,1,2003,23,5,Personal Travel,0,22,130,Eco,10,3/10/14,EV,FlyFast Airways Inc.,Florida,Georgia,8,0,0,No,55,300,no,-82.371036,29.656824,-84.331858,33.824102
"Atlanta, GA","Chicago, IL",5,Blue,73,Male,1,2008,5,3,Business travel,0,10,65,Eco,26,1/26/14,DL,Sigma Airlines Inc.,Illinois,Georgia,16,0,0,No,88,606,no,-87.895427,41.827126,-84.331858,33.824102
"Atlanta, GA","Pittsburgh, PA",4,Blue,65,Female,1,2004,19,9,Business travel,0,70,90,Eco Plus,22,1/22/14,DL,Sigma Airlines Inc.,Pennsylvania,Georgia,9,0,0,No,74,526,no,-79.951005,40.456961,-84.331858,33.824102
"Atlanta, GA","Los Angeles, CA",3,Gold,52,Female,1,2003,0,5,Business travel,0,0,60,Eco,5,2/5/14,WN,Cheapseats Airlines Inc.,California,Georgia,7,0,0,No,219,1947,no,-118.104332,33.982668,-84.331858,33.824102
"Orlando, FL","Detroit, MI",4,Blue,45,Male,1,2007,9,9,Business travel,2,0,75,Eco,12,1/12/14,DL,Sigma Airlines Inc.,Michigan,Florida,19,11,1,No,124,957,no,-83.227554,42.490005,-81.411184,28.584434
"Phoenix, AZ","San Francisco, CA",4,Blue,42,Male,1,2009,55,6,Business travel,0,0,40,Eco,29,3/29/14,US,Southeast Airlines Co.,California,Arizona,15,0,0,No,89,651,no,-122.383287,37.754645,-111.970041,33.494067
"Watertown, NY","Chicago, IL",2,Blue,43,Male,2,2005,26,7,Personal Travel,0,0,90,Eco,17,2/17/14,MQ,EnjoyFlying Air Services,Illinois,New York,18,NA,NA,Yes,NA,618,no,-87.895427,41.827126,-75.942275,43.925479
"Kansas City, MO","Dallas, TX",4,Silver,44,Female,1,2012,10,32,Business travel,1,0,150,Eco Plus,11,1/11/14,WN,Cheapseats Airlines Inc.,Texas,Missouri,8,0,0,No,67,460,no,-96.972001,32.812727,-94.594897,39.039792
"Denver, CO","Los Angeles, CA",4,Blue,27,Female,1,2004,2,6,Business travel,0,0,60,Eco Plus,24,3/24/14,F9,GoingNorth Airlines Inc.,California,Colorado,19,0,2,No,115,862,no,-118.104332,33.982668,-104.955096,39.710774
"Miami, FL","Chicago, IL",4,Gold,36,Female,1,2010,13,6,Business travel,0,0,60,Eco Plus,23,3/23/14,AA,Paul Smith Airlines Inc.,Illinois,Florida,19,1,0,No,142,1197,no,-87.895427,41.827126,-80.231428,26.175616
"New York, NY","Los Angeles, CA",4,Blue,28,Male,1,2010,41,4,Mileage tickets,1,0,10,Eco,28,3/28/14,VX,Cool&Young Airlines Inc.,California,New York,22,0,0,No,291,2475,no,-118.104332,33.982668,-73.970221,40.718357
"Charlotte, NC","San Juan, PR",3,Blue,17,Female,1,2006,4,5,Business travel,3,0,200,Business,12,1/12/14,US,Southeast Airlines Co.,Puerto Rico,North Carolina,18,0,0,No,198,1475,no,-66.116246,18.288174,-80.815826,35.249654
"Atlanta, GA","New York, NY",4,Blue,31,Female,2,2010,0,1,Business travel,2,0,10,Eco,23,3/23/14,FL,FlyHere Airways,New York,Georgia,14,0,0,No,119,762,no,-73.970221,40.718357,-84.331858,33.824102
"Salt Lake City, UT","Seattle, WA",3,Blue,42,Female,2,2005,21,9,Business travel,2,2,0,Eco,10,1/10/14,AS,FlyToSun Airlines Inc.,Washington,Utah,7,0,0,No,80,689,no,-122.274661,47.468409,-111.929515,40.640838
"Salt Lake City, UT","Seattle, WA",4,Blue,24,Male,1,2004,29,4,Business travel,1,0,15,Eco,23,3/23/14,DL,Sigma Airlines Inc.,Washington,Utah,6,0,0,No,81,689,no,-122.274661,47.468409,-111.929515,40.640838
"Chicago, IL","Orlando, FL",2,Gold,54,Female,1,2008,1,8,Business travel,0,10,0,Eco Plus,2,1/2/14,AA,Paul Smith Airlines Inc.,Florida,Illinois,19,96,83,No,138,1005,yes,-81.411184,28.584434,-87.895427,41.827126
"Minneapolis, MN","Chicago, IL",2,Blue,25,Male,2,2006,47,5,Personal Travel,0,0,30,Business,15,3/15/14,EV,FlyFast Airways Inc.,Illinois,Minnesota,17,0,0,No,63,349,no,-87.895427,41.827126,-93.2798,44.978156
"Orlando, FL","Milwaukee, WI",4,Blue,60,Female,1,2012,16,9,Business travel,0,0,60,Eco Plus,22,3/22/14,WN,Cheapseats Airlines Inc.,Wisconsin,Florida,15,0,0,No,131,1066,no,-88.100492,43.055654,-81.411184,28.584434
"Charlotte, NC","Pittsburgh, PA",4,Silver,50,Female,1,2004,31,5,Business travel,1,60,15,Eco,4,1/4/14,US,Southeast Airlines Co.,Pennsylvania,North Carolina,6,7,12,No,61,366,yes,-79.951005,40.456961,-80.815826,35.249654
"Atlanta, GA","Orlando, FL",4,Blue,51,Male,1,2011,27,9,Mileage tickets,0,0,30,Eco,24,3/24/14,DL,Sigma Airlines Inc.,Florida,Georgia,13,62,62,No,68,404,yes,-81.411184,28.584434,-84.331858,33.824102
"Orlando, FL","Atlanta, GA",3,Blue,37,Female,2,2008,7,9,Business travel,1,0,33,Eco,22,3/22/14,DL,Sigma Airlines Inc.,Georgia,Florida,7,0,0,No,59,404,no,-84.331858,33.824102,-81.411184,28.584434
"Oklahoma City, OK","Las Vegas, NV",3,Silver,44,Male,3,2011,35,3,Personal Travel,0,10,55,Business,2,2/2/14,WN,Cheapseats Airlines Inc.,Nevada,Oklahoma,15,82,67,No,115,986,yes,-115.167218,36.134893,-97.524305,35.504826
"Denver, CO","Omaha, NE",2,Blue,37,Male,2,2012,22,31,Personal Travel,3,0,105,Eco,30,1/30/14,F9,GoingNorth Airlines Inc.,Nebraska,Colorado,13,23,35,No,88,472,yes,-96.034641,41.234859,-104.955096,39.710774
"Atlanta, GA","Orlando, FL",2,Blue,75,Female,1,2003,32,10,Personal Travel,0,60,90,Eco,17,2/17/14,DL,Sigma Airlines Inc.,Florida,Georgia,15,88,94,No,71,404,yes,-81.411184,28.584434,-84.331858,33.824102
"Dothan, AL","Atlanta, GA",5,Blue,41,Male,1,2012,1,8,Business travel,0,0,60,Eco,1,2/1/14,EV,FlyFast Airways Inc.,Georgia,Alabama,18,0,0,No,32,170,no,-84.331858,33.824102,-85.425104,31.223667
"Orlando, FL","Houston, TX",3,Blue,53,Female,2,2009,46,9,Business travel,0,0,55,Eco,6,2/6/14,WN,Cheapseats Airlines Inc.,Texas,Florida,8,7,3,No,107,849,no,-95.393531,29.784308,-81.411184,28.584434
"Los Angeles, CA","Reno, NV",4,Silver,44,Male,1,2007,1,10,Business travel,1,0,50,Eco,2,1/2/14,WN,Cheapseats Airlines Inc.,Nevada,California,8,2,0,No,59,391,no,-119.797255,39.532575,-118.104332,33.982668
"Wichita, KS","Denver, CO",5,Silver,30,Female,2,2009,8,3,Business travel,0,45,105,Eco Plus,12,3/12/14,OU,Oursin Airlines Inc.,Colorado,Kansas,19,0,0,No,61,420,no,-104.955096,39.710774,-97.327333,37.679735
"Phoenix, AZ","Los Angeles, CA",2,Blue,51,Female,1,2005,10,16,Business travel,2,0,45,Eco Plus,2,3/2/14,US,Southeast Airlines Co.,California,Arizona,6,159,150,No,54,370,yes,-118.104332,33.982668,-111.970041,33.494067
"San Francisco, CA","Boston, MA",3,Blue,33,Female,2,2004,0,13,Business travel,4,0,25,Eco,12,2/12/14,VX,Cool&Young Airlines Inc.,Massachusetts,California,8,1,0,No,381,2704,no,-71.140708,42.373132,-122.383287,37.754645
"Los Angeles, CA","Seattle, WA",2,Blue,75,Female,3,2008,31,5,Personal Travel,0,0,45,Eco,9,2/9/14,AS,FlyToSun Airlines Inc.,Washington,California,16,0,10,No,128,954,yes,-122.274661,47.468409,-118.104332,33.982668
"Chicago, IL","Cleveland, OH",3,Silver,63,Female,1,2012,46,2,Business travel,0,30,105,Business,31,1/31/14,WN,Cheapseats Airlines Inc.,Ohio,Illinois,7,1,10,No,67,307,yes,-81.605443,41.443638,-87.895427,41.827126
"Miami, FL","Indianapolis, IN",4,Silver,49,Female,1,2007,3,22,Business travel,2,60,120,Eco,9,1/9/14,MQ,EnjoyFlying Air Services,Indiana,Florida,14,0,0,No,148,1020,no,-86.145521,39.811262,-80.231428,26.175616
"Minneapolis, MN","Phoenix, AZ",2,Blue,66,Male,1,2009,47,8,Personal Travel,0,75,105,Eco,13,1/13/14,US,Southeast Airlines Co.,Arizona,Minnesota,13,0,0,No,169,1276,no,-111.970041,33.494067,-93.2798,44.978156
"Las Vegas, NV","San Francisco, CA",1,Blue,85,Female,1,2011,43,7,Personal Travel,0,0,37,Eco,25,3/25/14,VX,Cool&Young Airlines Inc.,California,Nevada,13,40,30,No,64,414,yes,-122.383287,37.754645,-115.167218,36.134893
"Minneapolis, MN","Houston, TX",1,Platinum,71,Male,0,2003,40,10,Personal Travel,0,50,185,Eco,30,1/30/14,EV,FlyFast Airways Inc.,Texas,Minnesota,13,0,25,No,143,1034,yes,-95.393531,29.784308,-93.2798,44.978156
"San Diego, CA","Las Vegas, NV",4,Blue,27,Female,1,2012,20,22,Business travel,2,70,55,Eco,6,3/6/14,WN,Cheapseats Airlines Inc.,Nevada,California,20,0,0,No,45,258,no,-115.167218,36.134893,-117.128799,32.928728
"Los Angeles, CA","Reno, NV",4,Blue,42,Female,2,2005,25,7,Business travel,2,0,115,Eco,20,1/20/14,WN,Cheapseats Airlines Inc.,Nevada,California,14,9,0,No,60,391,no,-119.797255,39.532575,-118.104332,33.982668
"Denver, CO","Laramie, WY",3,Blue,42,Male,1,2007,49,3,Business travel,0,2,0,Eco,12,1/12/14,OO,Northwest Business Airlines Inc.,Wyoming,Colorado,17,93,121,No,30,113,yes,-105.604642,41.316465,-104.955096,39.710774
"Fresno, CA","Phoenix, AZ",4,Silver,80,Female,1,2012,60,5,Business travel,0,2,46,Eco,7,1/7/14,OO,Northwest Business Airlines Inc.,Arizona,California,14,0,5,No,94,493,no,-111.970041,33.494067,-119.761114,36.787755
"Orlando, FL","Key West, FL",1,Blue,50,Male,2,2006,23,2,Mileage tickets,0,0,45,Eco,31,3/31/14,WN,Cheapseats Airlines Inc.,Florida,Florida,12,7,12,No,52,268,yes,-81.751371,24.569654,-81.411184,28.584434
"Sacramento, CA","Los Angeles, CA",4,Blue,59,Male,1,2004,45,5,Business travel,0,60,0,Eco,4,2/4/14,OO,Northwest Business Airlines Inc.,California,California,20,0,0,No,59,373,no,-118.104332,33.982668,-121.324669,38.638578
"Baltimore, MD","Orlando, FL",4,Blue,43,Female,0,2008,6,13,Business travel,1,0,75,Eco,6,3/6/14,FL,FlyHere Airways,Florida,Maryland,18,0,0,No,97,787,no,-81.411184,28.584434,-76.64776,39.234099
"Los Angeles, CA","New York, NY",4,Blue,34,Male,2,2008,13,1,Business travel,0,20,105,Business,3,3/3/14,DL,Sigma Airlines Inc.,New York,California,7,8,15,No,342,2475,yes,-73.970221,40.718357,-118.104332,33.982668
"San Diego, CA","San Jose, CA",1,Platinum,63,Male,1,2004,32,8,Personal Travel,0,15,135,Eco,27,3/27/14,WN,Cheapseats Airlines Inc.,California,California,8,0,0,No,60,417,no,-121.945145,37.329845,-117.128799,32.928728
"Denver, CO","Salt Lake City, UT",3,Blue,31,Female,1,2008,5,23,Business travel,2,0,45,Eco,2,3/2/14,F9,GoingNorth Airlines Inc.,Utah,Colorado,18,22,17,No,56,391,yes,-111.929515,40.640838,-104.955096,39.710774
"Salt Lake City, UT","Gillette, WY",2,Blue,29,Female,2,2005,16,8,Personal Travel,1,0,75,Eco,16,2/16/14,OO,Northwest Business Airlines Inc.,Wyoming,Utah,14,0,16,No,126,410,yes,-105.484013,44.273303,-111.929515,40.640838
"Austin, TX","Dallas, TX",4,Blue,41,Male,2,2010,14,3,Business travel,0,60,60,Eco,9,3/9/14,WN,Cheapseats Airlines Inc.,Texas,Texas,9,0,0,No,36,189,no,-96.972001,32.812727,-97.761533,30.358514
"Houston, TX","New Orleans, LA",5,Gold,65,Male,1,2011,10,1,Business travel,0,10,60,Eco,20,1/20/14,WN,Cheapseats Airlines Inc.,Louisiana,Texas,6,0,6,No,68,302,yes,-90.143683,29.954653,-95.393531,29.784308
"Houston, TX","Atlanta, GA",4,Blue,34,Female,1,2005,4,9,Business travel,2,0,95,Eco,19,3/19/14,WN,Cheapseats Airlines Inc.,Georgia,Texas,12,3,7,No,122,696,yes,-84.331858,33.824102,-95.393531,29.784308
"Denver, CO","Tucson, AZ",3,Blue,61,Female,0,2010,75,8,Personal Travel,0,0,29,Eco,19,2/19/14,OO,Northwest Business Airlines Inc.,Arizona,Colorado,16,0,0,No,85,639,no,-110.946141,32.254891,-104.955096,39.710774
"San Diego, CA","Phoenix, AZ",3,Blue,59,Male,1,2012,23,8,Business travel,0,10,90,Eco,20,1/20/14,WN,Cheapseats Airlines Inc.,Arizona,California,17,4,0,No,48,304,no,-111.970041,33.494067,-117.128799,32.928728
"San Francisco, CA","Portland, OR",3,Silver,40,Female,1,2008,19,7,Business travel,0,0,75,Eco,11,1/11/14,VX,Cool&Young Airlines Inc.,Oregon,California,7,0,22,No,98,550,yes,-122.651087,45.520404,-122.383287,37.754645
"New York, NY","Seattle, WA",2,Blue,80,Female,1,2003,25,4,Personal Travel,0,0,80,Eco,31,1/31/14,DL,Sigma Airlines Inc.,Washington,New York,13,7,0,No,263,2422,no,-122.274661,47.468409,-73.970221,40.718357
"Tulsa, OK","St. Louis, MO",4,Blue,53,Female,2,2008,22,8,Business travel,0,0,25,Business,12,1/12/14,WN,Cheapseats Airlines Inc.,Missouri,Oklahoma,20,10,0,No,60,351,no,-90.340926,38.630705,-95.901334,36.105449
"Buffalo, NY","Chicago, IL",4,Silver,24,Female,2,2006,17,8,Business travel,0,30,20,Eco,30,3/30/14,OU,Oursin Airlines Inc.,Illinois,New York,21,0,0,No,65,473,no,-87.895427,41.827126,-78.823675,42.92493
"Seattle, WA","Los Angeles, CA",2,Blue,43,Female,1,2009,8,25,Personal Travel,1,0,5,Eco,8,1/8/14,AS,FlyToSun Airlines Inc.,California,Washington,17,0,15,No,138,954,yes,-118.104332,33.982668,-122.274661,47.468409
"Chicago, IL","Las Vegas, NV",2,Platinum,53,Female,1,2007,25,4,Business travel,0,54,120,Eco Plus,25,3/25/14,WN,Cheapseats Airlines Inc.,Nevada,Illinois,9,0,7,No,194,1521,yes,-115.167218,36.134893,-87.895427,41.827126
"Chicago, IL","San Diego, CA",3,Silver,23,Male,1,2008,22,5,Business travel,0,25,0,Business,9,3/9/14,AA,Paul Smith Airlines Inc.,California,Illinois,6,0,27,No,235,1723,yes,-117.128799,32.928728,-87.895427,41.827126
"Rochester, NY","Atlanta, GA",3,Silver,35,Female,1,2009,4,29,Personal Travel,2,60,225,Eco,4,2/4/14,DL,Sigma Airlines Inc.,Georgia,New York,14,13,13,No,92,749,yes,-84.331858,33.824102,-77.568207,43.137608
"Denver, CO","Los Angeles, CA",2,Blue,59,Female,1,2003,50,1,Personal Travel,0,0,15,Eco,21,1/21/14,MQ,EnjoyFlying Air Services,California,Colorado,21,1,0,No,104,862,no,-118.104332,33.982668,-104.955096,39.710774
"Panama City, FL","Baltimore, MD",3,Blue,70,Male,2,2011,43,2,Personal Travel,0,0,45,Eco,11,2/11/14,WN,Cheapseats Airlines Inc.,Maryland,Florida,8,0,0,No,128,798,no,-76.64776,39.234099,-85.677271,30.194089
"New York, NY","San Juan, PR",2,Blue,61,Female,1,2012,21,3,Business travel,0,60,30,Eco,28,2/28/14,B6,OnlyJets Airlines Inc.,Puerto Rico,New York,6,37,26,No,209,1598,yes,-66.116246,18.288174,-73.970221,40.718357
"Detroit, MI","San Diego, CA",3,Blue,38,Male,2,2009,8,47,Mileage tickets,2,0,60,Eco,3,1/3/14,DL,Sigma Airlines Inc.,California,Michigan,7,156,158,No,238,1956,yes,-117.128799,32.928728,-83.227554,42.490005
"Houston, TX","New Orleans, LA",1,Platinum,68,Male,1,2007,23,7,Business travel,1,90,150,Eco,4,3/4/14,OU,Oursin Airlines Inc.,Louisiana,Texas,12,4,6,No,62,305,yes,-90.143683,29.954653,-95.393531,29.784308
"Hartford, CT","Minneapolis, MN",2,Blue,57,Male,1,2005,65,6,Personal Travel,0,0,35,Eco,18,2/18/14,DL,Sigma Airlines Inc.,Minnesota,Connecticut,19,0,0,No,119,1050,no,-93.2798,44.978156,-72.69883,41.740122
"Houston, TX","Salt Lake City, UT",4,Blue,18,Male,2,2008,30,4,Business travel,2,0,30,Eco,17,3/17/14,OO,Northwest Business Airlines Inc.,Utah,Texas,9,24,3,No,139,1195,no,-111.929515,40.640838,-95.393531,29.784308
"Boston, MA","Charlotte, NC",2,Blue,44,Female,1,2007,14,16,Personal Travel,1,0,45,Eco,21,2/21/14,B6,OnlyJets Airlines Inc.,North Carolina,Massachusetts,10,5,0,No,89,728,no,-80.815826,35.249654,-71.140708,42.373132
"Houston, TX","Washington, DC",2,Gold,68,Female,1,2007,25,9,Personal Travel,0,60,210,Eco,10,1/10/14,OU,Oursin Airlines Inc.,Virginia,Texas,16,32,16,No,179,1190,yes,-77.18974,38.897394,-95.393531,29.784308
"Orlando, FL","Los Angeles, CA",4,Silver,35,Female,1,2005,6,8,Business travel,0,90,70,Business,23,1/23/14,DL,Sigma Airlines Inc.,California,Florida,10,3,0,No,228,2218,no,-118.104332,33.982668,-81.411184,28.584434
"San Jose, CA","Houston, TX",2,Blue,73,Female,1,2004,9,7,Personal Travel,0,0,75,Eco,25,3/25/14,OU,Oursin Airlines Inc.,Texas,California,9,0,0,No,232,1608,no,-95.393531,29.784308,-121.945145,37.329845
"Houston, TX","Orlando, FL",5,Silver,30,Male,1,2007,25,4,Business travel,0,95,30,Eco,29,3/29/14,OU,Oursin Airlines Inc.,Florida,Texas,12,161,164,No,141,854,yes,-81.411184,28.584434,-95.393531,29.784308
"Boston, MA","Kansas City, MO",5,Gold,34,Male,1,2009,26,7,Business travel,0,0,15,Eco,9,3/9/14,WN,Cheapseats Airlines Inc.,Missouri,Massachusetts,10,0,0,No,157,1256,no,-94.594897,39.039792,-71.140708,42.373132
"Orlando, FL","St. Louis, MO",4,Silver,37,Female,2,2012,17,8,Business travel,2,0,75,Eco,9,2/9/14,WN,Cheapseats Airlines Inc.,Missouri,Florida,17,10,0,No,110,882,no,-90.340926,38.630705,-81.411184,28.584434
"Tulsa, OK","Phoenix, AZ",4,Blue,47,Male,2,2005,39,4,Business travel,1,0,30,Business,24,3/24/14,WN,Cheapseats Airlines Inc.,Arizona,Oklahoma,8,6,0,No,107,935,no,-111.970041,33.494067,-95.901334,36.105449
"Minneapolis, MN","New York, NY",2,Blue,66,Female,1,2003,18,2,Personal Travel,0,120,150,Eco,11,1/11/14,DL,Sigma Airlines Inc.,New York,Minnesota,6,31,11,No,146,1020,yes,-73.970221,40.718357,-93.2798,44.978156
"Denver, CO","Chicago, IL",3,Blue,80,Male,1,2004,25,3,Personal Travel,0,15,140,Eco Plus,11,2/11/14,WN,Cheapseats Airlines Inc.,Illinois,Colorado,12,0,0,No,132,895,no,-87.895427,41.827126,-104.955096,39.710774
"Miami, FL","Atlanta, GA",3,Blue,34,Male,3,2010,2,8,Business travel,3,0,20,Eco,30,3/30/14,DL,Sigma Airlines Inc.,Georgia,Florida,14,30,25,No,84,594,yes,-84.331858,33.824102,-80.231428,26.175616
"Chicago, IL","Syracuse, NY",2,Blue,78,Female,1,2007,46,10,Personal Travel,0,0,0,Eco,4,1/4/14,MQ,EnjoyFlying Air Services,New York,Illinois,17,55,88,No,108,607,yes,-76.164008,43.090425,-87.895427,41.827126
"Houston, TX","Cleveland, OH",3,Blue,36,Male,2,2004,15,26,Business travel,2,253,30,Business,6,2/6/14,OU,Oursin Airlines Inc.,Ohio,Texas,17,0,3,No,172,1091,no,-81.605443,41.443638,-95.393531,29.784308
